title,company,location,experience,salary,skills,date_posted,company_rating,company_reviews,role_searched,scraped_date,job_url
Data Analyst - Bilingual,Numerator,Vadodara,0-7 Yrs,Not Disclosed,"Training, Retail, Usage, French, Database, Data Analyst, Research, Data entry",2 days ago,3.9,272  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-bilingual-numerator-vadodara-0-to-7-years-070726501916
Data Analyst,Iris Regtech Solutions,Mumbai,2-4 Yrs,Not Disclosed,"database maintenance, python, data analysis, analytical, insights, problem solving, dashboards, sql",1 day ago,3.4,142  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-iris-regtech-solutions-limited-mumbai-2-to-4-years-090726504121
Data Analyst,Financial Service,Hybrid - Ahmedabad,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",2 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-purview-services-ahmedabad-5-to-10-years-250626945101
Data Analyst,Financial Service,Hybrid - Chennai,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",2 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-purview-services-chennai-5-to-10-years-250626945099
Data Analyst,Financial Service,Hybrid - Mumbai,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",2 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-purview-services-mumbai-5-to-10-years-250626945096
Data Analyst,Krazy Mantra It,"Pune, Chennai",8-14 Yrs,Not Disclosed,"data analysis, data validation, business requirements, business analysis, problem solving, business development, sql, requirement gathering",1 day ago,3.7,93  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-krazy-mantra-group-of-companies-pune-chennai-8-to-14-years-090726503047
Data Analyst,Prospect Info Solution,Noida,1-5 Yrs,Not Disclosed,"database maintenance, python, macros, data analysis, data analytics, data mining, predictive analytics, power bi",1 week ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-prospect-info-solution-noida-1-to-5-years-260626502427
Data Analyst,Financial Service,Hybrid - Kolkata,5-10 Yrs,Not Disclosed,"O2C, SAP, Order To Cash, Data Analytics, CRM, Genesys, Data quality, siebel",2 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-purview-services-kolkata-5-to-10-years-250626945100
Data Analyst,Innova Solutions,"Hybrid - Noida, Hyderabad, Chennai",7-12 Yrs,15-30 Lacs PA,"Data Analysis, Data Visualization, Data Analytics, DA, Analytics, DAS, Analysis, Data",1 week ago,3.3,1213  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-innova-solutions-noida-hyderabad-chennai-7-to-12-years-300626037332
Data Analyst,Data Economy,Gurugram,8-13 Yrs,Not Disclosed,"Analytical, Consulting, Senior Data Analyst, power bi, Data Analyst, Data analytics, Asset management, SQL",1 week ago,3.9,84  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-dataeconomy-gurugram-8-to-13-years-260626505358
Data Analyst,MAN Truck & Bus,Pune,4-6 Yrs,Not Disclosed,"microsoft power bi, advanced analytics, python, data analytics, data analysis, sap, performance tuning, software testing",2 weeks ago,2.5,285  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-man-truck-bus-pune-4-to-6-years-250626501217
Data Analyst,Sia Partners,Mumbai,3-6 Yrs,Not Disclosed,"python, ux, analytical, production, enterprise, verbal communication, power bi, microsoft azure",1 day ago,4.6,7  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-sia-partners-mumbai-3-to-6-years-090726504614
IRR Liquidity PBR Data Analyst,Krazy Mantra It,Pune,6-10 Yrs,Not Disclosed,"financial concepts, financial analysis, sql queries, data analysis, analytical, insights, investment banking, interpersonal skills",1 day ago,3.7,93  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-irr-liquidity-pbr-data-analyst-krazy-mantra-group-of-companies-pune-6-to-10-years-090726503915
Climate Data Analyst,MSCI Services,Pune,7-12 Yrs,Not Disclosed,"python, data analysis, access, data validation, investment, artificial intelligence, analytics, coding",1 day ago,3.6,390  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-climate-data-analyst-trove-research-pune-7-to-12-years-090726506080
Data Analyst,Policybazaar,Gurugram,2-6 Yrs,6-10 Lacs PA,"SQL, Data Analysis, Data Visualization, Tableau, Data Analytics, Python, Analysis, Analytics",1 week ago,3.7,6275  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-policybazaar-gurugram-2-to-6-years-010726020621
Data Analyst,Leading Client,Coimbatore,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-coimbatore-7-to-12-years-080726916737
Data Analyst,Leading Client,Surat,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-surat-7-to-12-years-080726916736
Data Analyst,Leading Client,Pune,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-pune-7-to-12-years-080726916726
Data Analyst,Leading Client,Hyderabad,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-hyderabad-7-to-12-years-080726916724
Data Analyst,Leading Client,Kochi,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-kochi-7-to-12-years-080726916739
Data Analyst,Leading Client,Nagpur,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-nagpur-7-to-12-years-080726916744
Data Analyst,Leading Client,Jaipur,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-jaipur-7-to-12-years-080726916735
Data Analyst,Leading Client,Ahmedabad,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-ahmedabad-7-to-12-years-080726916731
Data Analyst,Leading Client,Lucknow,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-lucknow-7-to-12-years-080726916741
Data Analyst,Leading Client,Chandigarh,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-chandigarh-7-to-12-years-080726916734
Data Analyst,Leading Client,Chennai,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-chennai-7-to-12-years-080726916727
Data Analyst L3,Gurukrupa Exports,Surat(Varachha),4-8 Yrs,5-7 Lacs PA,"Power BI, Advanced Excel, SQL, ERP System, Business Intelligence, Data Analysis, Data Modeling, MIS Reporting",1 day ago,4.3,82  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-l3-gurukrupa-exports-surat-4-to-8-years-090726030035
Data Analyst,Aditya Birla Insulators,Thane,2-3 Yrs,Not Disclosed,"Risk analytics, Business analytics, Analytical, Machine learning, Business planning, Data structures, Data Analyst, SQL",1 day ago,3.5,110  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-aditya-birla-insulators-thane-2-to-3-years-080726502637
Data Analyst,Leading Client,Kolkata,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-kolkata-7-to-12-years-080726916729
Data Analyst,Suta,Mumbai,2-3 Yrs,Not Disclosed,"tableau, Business analytics, power bi, data integrity, Advanced Excel, Data Analyst, Windows, Statistics",1 day ago,3.4,61  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-suta-mumbai-2-to-3-years-080726502228
S&C GN - Data&AI - Resources -  Analyst,Accenture,Bengaluru,4-8 Yrs,Not Disclosed,"python, data analysis, machine learning, artificial intelligence, sql, data analytics, natural language processing, data mining",1 week ago,3.7,75214  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-s-c-gn-data-ai-resources-analyst-accenture-solutions-pvt-ltd-bengaluru-4-to-8-years-300626927896
Data Scientist / Data Analyst,Mount Talent Consulting,Bengaluru,3-20 Yrs,Not Disclosed,"Python, R, Statistics, Machine Learning, SQL, Data analysis, Machine, Data",1 week ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-scientist-data-analyst-value-innovation-labs-bengaluru-3-to-20-years-260626016090
Data Analyst,Kiya.ai,"Hybrid - Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",5-7 Yrs,5-11 Lacs PA,"Power BI, Dashboards, Data Governance, Python, SQL, Data Visualization, Dax, Grafana",1 day ago,4.0,655  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-kiya-ai-mumbai-suburban-navi-mumbai-mumbai-all-areas-5-to-7-years-080726032592
Data Services - File Analyst,WTW Global Delivery And Solutions,Kolkata,0-6 Yrs,Not Disclosed,"data services, sap bi, data analysis, data warehousing, sap bods, power bi, data migration, sap bo",1 day ago,3.7,472  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-services-file-analyst-wtw-global-delivery-and-solutions-india-pvt-ltd-kolkata-0-to-6-years-090726504327
Data Analyst,Collegedunia,Hyderabad,8-10 Yrs,Not Disclosed,"Celonis, SAP, PAM, Data analysis, Data",2 days ago,3.2,662  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-collegedunia-hyderabad-8-to-10-years-080726012026
Data Analyst,MNC,"Pimpri-Chinchwad, Pune",0-1 Yrs,2.5-5 Lacs PA,"Power Bi, MS Office, SQL, Google Suite, Data Analytics, Large Databases, Google Data Studio, Data Management",3+ weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-tele-infotech-pimpri-chinchwad-pune-0-to-1-years-100626038034
DATA ANALYST,Godigi Infotech,Pune,N/A,Unpaid,N/A,Starts in 1-3 months,4.5,7  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831
Data Analyst,PwC Service Delivery Center,Bengaluru,2-5 Yrs,Not Disclosed,"Power BI, Dax, ETL, Python, SQL, Data Engineering, Data Visualization, Data Extraction",2 weeks ago,3.3,13081  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-pwc-service-delivery-center-bengaluru-2-to-5-years-260626013656
Virtusa Hiring Data Analyst For Bangalore Location,Virtusa,Hybrid - Bengaluru,4-9 Yrs,15-19 Lacs PA,"Pandas, Data Analyst, Numpy, Python, SQL, Data, Data analysis, Hiring",1 week ago,3.7,6241  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-virtusa-hiring-data-analyst-for-bangalore-location-virtusa-bengaluru-4-to-9-years-270626008807
Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,3-4 Lacs PA,"Power Bi, Tableau, Data Analytics, SQL, Python, Excel, Statistics, Data",3 weeks ago,3.9,19  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825010580
Data Analyst,Tradeweb,Bengaluru,2-4 Yrs,Not Disclosed,"Snowflake, Cd, Ci Cd Pipeline, Bi, Tools, Ci/Cd, Tableau, Verbal Communication",1 week ago,3.6,4  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-tradeweb-markets-inc-bengaluru-2-to-4-years-020726915892
Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-1 Yrs,3.5-6.5 Lacs PA,"Data Analysis, Data Visualization, SQL, Power Bi, Data Cleansing, Tableau, Data Analytics, Analytics",2 weeks ago,3.9,19  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-1-years-181125007850
Data Analyst,Epsilon Data Management,Bengaluru,2-5 Yrs,Not Disclosed,"Automation, Data analysis, Visual Basic, Analytical, Process improvement, PLSQL, Digital marketing, Analytics",2 days ago,3.6,894  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-epsilon-asia-group-of-companies-bengaluru-2-to-5-years-070726503265
Data Analyst,Cargill,Hybrid - Bengaluru,4-7 Yrs,10-16 Lacs PA,"Power Bi, Data Science, AL/ML, Snowflake, AWS, Predictive Modeling, Big Data, Power Platform",1 week ago,3.9,2174  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-cargill-bengaluru-4-to-7-years-290626015919
Data Analyst Proficient,Softtek,Bengaluru,3-5 Yrs,Not Disclosed,"Data validation, Analytical, Agile, data governance, Data Analyst, Data quality, Business intelligence, Stakeholder management",6 days ago,3.9,301  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-proficient-softtek-india-private-limited-bengaluru-3-to-5-years-030726503607
Data Analyst,Leading Client,Bengaluru,7-12 Yrs,Not Disclosed,"data analyst, microsoft office, data quality, emerging technologies, tableau, data analysis, design, power bi",2 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-wenger-watson-business-systems-private-limited-bengaluru-7-to-12-years-070726934190
Data Analyst,Leading Client,"Noida, Gurugram, Bengaluru",2-6 Yrs,Not Disclosed,"SQL, Excel, Power BI, Data Visualization, Tableau, Statistics, Python, Bi",3 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pvt-ltd-noida-gurugram-bengaluru-2-to-6-years-060726917439
Data Analyst,ti Steps,"Hyderabad, Chennai, Bengaluru",0-1 Yrs,3.5-6.5 Lacs PA,"Data Management, Data Analysis, Data Cleansing, Data Reporting, Power Bi, Data Visualization, Tableau, Data Analytics",2 weeks ago,3.9,19  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-ti-steps-hyderabad-chennai-bengaluru-0-to-1-years-281125015025
Data Analyst,Leading Client,"Noida, Gurugram, Bengaluru",2-5 Yrs,Not Disclosed,"SQL, Excel, Power BI, Data Visualization, Tableau, Statistics, Python, Data analysis",3 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pvt-ltd-noida-gurugram-bengaluru-2-to-5-years-060726917422
Data Analyst,Leading Client,"Noida, Gurugram, Bengaluru",1-3 Yrs,Not Disclosed,"SQL, Excel, Power BI, Data Visualization, Tableau, Statistics, Python, Data analysis",3 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pvt-ltd-noida-gurugram-bengaluru-1-to-3-years-060726917803
Data Analyst,Leading Client,"Noida, Gurugram, Bengaluru",1-4 Yrs,Not Disclosed,"SQL, Excel, Power BI, Data Visualization, Tableau, Statistics, Python, Data analysis",3 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pvt-ltd-noida-gurugram-bengaluru-1-to-4-years-060726917519
Data Analyst,ADA Global,Bengaluru,3-4 Yrs,Not Disclosed,"server, python, oracle, data analysis, data warehousing, microsoft azure, transformation, sql server",6 days ago,4.0,6  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-ada-global-bengaluru-3-to-4-years-030726504989
Data Analyst,Leading Client,"Noida, Gurugram, Bengaluru",3-6 Yrs,Not Disclosed,"SQL, Excel, Power BI, Data Visualization, Tableau, Statistics, Python, Bi",3 days ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pvt-ltd-noida-gurugram-bengaluru-3-to-6-years-060726917490
Data Analyst,Apptad,"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",0-3 Yrs,Not Disclosed,"Tally, ERP, Financial statements, Financial analysis, Financial planning, Business planning, Cash flow, Budgeting",1 week ago,4.2,104  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-apptad-inc-prayagraj-varanasi-ghaziabad-kanpur-lucknow-agra-0-to-3-years-300626503273
Data Analyst,EY,"Hyderabad, Gurugram, Bengaluru",4-8 Yrs,Not Disclosed,"SAS, Credit Risk, SQL, Altair, GCP, Requirement Gathering, Data Analysis, Requirements",1 week ago,3.4,15004  Reviews,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-ey-hyderabad-gurugram-bengaluru-4-to-8-years-010726031759
Data Analyst,Codinglimits Nellore,"Hyderabad, Chennai, Bengaluru",0-1 Yrs,Not Disclosed,"Power Bi, SQL, Python, Data Visualization, Tableau, Data Analytics, Data analysis, Analytics",3 weeks ago,N/A,N/A,Data Analyst,2026-07-10,https://www.naukri.com/job-listings-data-analyst-codinglimits-nellore-hyderabad-chennai-bengaluru-0-to-1-years-150626016881
