title,company,location,experience,salary,skills,date_posted,company_rating,company_reviews,role_searched,scraped_date,job_url
Data Analyst,Tex Corp,Gurugram,1-2 Yrs,3.5-5.5 Lacs PA,"Data Analysis, Data Interpretation, Data Management, Data Visualization, Advanced Excel, Dashboards, Data Analytics, Data Reporting",1 week ago,3.6,128  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-tex-corp-gurugram-1-to-2-years-260526030574
Data Analyst,CarTrade,Navi Mumbai,1-4 Yrs,5-7.5 Lacs PA,"SQL, Power Bi, Data Analytics, Data analysis, Analytics, Data, Bi",1 week ago,3.8,122  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-cartrade-navi-mumbai-1-to-4-years-260526023451
Data Analyst - Invoice 360,Mostedge,Hyderabad,1-3 Yrs,Not Disclosed,"Power BI, Advanced MS Excel, Tableau, Data Analytics, python, data analysis, data validation, mathematics",1 week ago,3.4,10  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-invoice-360-mostedge-hyderabad-1-to-3-years-250526928630
Data Analyst (Outbound Contact Centre),CIMET,Jaipur(Vaishali Nagar),3-5 Yrs,Not Disclosed,"Excel, Power Bi, Dax, Data Analytics, Data analysis, Outbound, Analytics, Bi",1 week ago,3.1,43  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-outbound-contact-centre-cimet-jaipur-3-to-5-years-210426035537
Online Data Analyst Gujarati,TELUS Digital,Remote,0-5 Yrs,Not Disclosed,"Gujarati, search engines, Data management, Data Analysis, online maps, online research, Map, Engine",1 week ago,3.5,1939  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-online-data-analyst-telus-digital-noida-0-to-5-years-110326926277
Data Analyst,Shree Ajit,Vapi,2-6 Yrs,Not Disclosed,"Power Bi, Data Extraction, Data Cleansing, Data Visualization, Data Analytics, Problem-Solving, Data Interpretation, Data Manipulation",1 week ago,3.2,27  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-shree-ajit-vapi-2-to-6-years-091225018071
Transportation Data Analyst,Azure Power,Hyderabad,3-7 Yrs,Not Disclosed,"python, macros, data analysis, data analytics, data management, pivot table, power bi, business analysis",1 week ago,3.9,310  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-transportation-data-analyst-azure-power-hyderabad-3-to-7-years-280526501725
IRR Liquidity PBR Data Analyst,Krazymantra It Solutions,Pune,6-10 Yrs,Not Disclosed,"python, sql queries, data analysis, data analytics, sas, data mining, predictive analytics, machine learning",1 week ago,3.6,92  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-irr-liquidity-pbr-data-analyst-krazymantra-it-solutions-pune-6-to-10-years-260526505709
Data Analyst - AI & Bedrock Specialization,Tekskills india,Hyderabad,5-10 Yrs,Not Disclosed,"Bedrock, Natural Language Processing, Data Analysis, Data Analytics, Machine Learning, ML, Languages, Processing",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ai-bedrock-specialization-tekskills-hyderabad-5-to-10-years-290526917085
Data Analyst - AI & Bedrock Specialization,Tekskills india,Pune,5-10 Yrs,Not Disclosed,"Bedrock, Natural Language Processing, Data Analysis, Data Analytics, Machine Learning, ML, Process, Languages",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ai-bedrock-specialization-tekskills-pune-5-to-10-years-290526917082
Data Analyst - AI & Bedrock Specialization,Tekskills india,Kolkata,5-10 Yrs,Not Disclosed,"Bedrock, Natural Language Processing, Data Analysis, Data Analytics, Machine Learning, ML, Process, Languages",1 week ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ai-bedrock-specialization-tekskills-kolkata-5-to-10-years-290526917081
Data Analyst,Kiya.ai,"Hybrid - Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)",5-7 Yrs,5-11 Lacs PA,"Power Bi, Tableau, Data Governance, SQL, Data Analysis, Governance, Bi, Analysis",1 day ago,3.9,637  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-kiya-ai-mumbai-suburban-navi-mumbai-mumbai-all-areas-5-to-7-years-050626009639
Data Analyst,Bicxo - Enterprise Performance Management,Thane,3-6 Yrs,Not Disclosed,"database maintenance, python, data analysis, modeling, bi, documentation, power bi, problem solving",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-bicxo-enterprise-performance-management-thane-3-to-6-years-040626501243
Excellent Job Opening  _ Data Analyst _ Chennai,Clover Infotech,Chennai,7-12 Yrs,Not Disclosed,"Data Warehousing, Financial Sector, Data analyst, Banking Sector, Data Modeling, ETL, SQL, Modeling",2 days ago,3.4,1671  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-excellent-opening-data-analyst-chennai-clover-infotech-chennai-7-to-12-years-040626022993
QC Data Analyst,Straive,Remote,5-10 Yrs,Not Disclosed,"Python, SQL, ETL, Data analysis, QC, Data",2 days ago,3.3,2352  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-qc-data-analyst-straive-chennai-5-to-10-years-040626022036
S&C GN - Data&AI - Resources -  Analyst,Accenture,Bengaluru,4-8 Yrs,Not Disclosed,"python, data analysis, machine learning, artificial intelligence, sql, data analytics, natural language processing, data mining",1 week ago,3.7,74223  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-s-c-gn-data-ai-resources-analyst-accenture-solutions-pvt-ltd-bengaluru-4-to-8-years-250526926012
Data Analyst,dt,Hyderabad,6-11 Yrs,5-11 Lacs PA,"Power Bi, Excellent Communication In English, Advanced Excel, Excellent Verbal And Written Communication Skills, Written communication, Data analysis, Writing, Excel",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-orcapod-consulting-services-hyderabad-6-to-11-years-150225005334
Data Analyst - 5th Mar (Thursday)- Virtual Interview- Pan India,Tata Consultancy Services,"India, Kolkata, Hyderabad",8-13 Yrs,Not Disclosed,"Azure Synapse, SQL, Power Bi, Data Modeling, Data analysis, Modeling, Pan, Data",1 day ago,3.3,115420  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-5th-mar-thursday-virtual-interview-pan-india-tata-consultancy-services-kolkata-hyderabad-india-8-to-13-years-190226007827
Data Analyst - Noida,Optum,Hybrid - Noida,4-8 Yrs,16-25 Lacs PA,"hive, pyspark, delta lake, azure, Python, kubernetes, ADF, Terraform",2 days ago,4.0,8053  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-noida-optum-noida-4-to-8-years-030626027156
Data Analyst,Indian School of Business & Finance (ISBF),"Prayagraj, Varanasi, Ghaziabad, Kanpur, Lucknow, Agra",2-5 Yrs,Not Disclosed,"Data analysis, metadata, SAS, Data management, Compliance, Analytical, E-governance, data governance",4 days ago,3.6,5  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-indian-school-of-business-and-finance-prayagraj-varanasi-ghaziabad-kanpur-lucknow-agra-2-to-5-years-010626503487
DATA ANALYST,Godigi Infotech,Pune,,Unpaid,,Starts in 1-3 months,2.4,2  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-godigi-infotech-pune-0-to-1-years-130126506831
Data Analyst,Ocwen Financial Corporation,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",6-9 Yrs,Not Disclosed,"Artificial Intelligence, Machine Learning, SQL, Power Bi, Data analysis, Machine, Data, Bi",3 days ago,3.8,1162  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-ocwen-financial-corporation-pune-bengaluru-mumbai-all-areas-6-to-9-years-020626018811
Data Analyst,Magellanic Cloud,"Hyderabad, Pune, Bengaluru",5-8 Yrs,8-18 Lacs PA,"Data Validation, Azure Data Factory, databricks, ETL, SQL, Data Lakehouse, Python, Microsoft Azure",5 days ago,2.0,42  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-magellanic-cloud-hyderabad-pune-bengaluru-5-to-8-years-010626002873
Data Analyst,Capgemini,"Hyderabad, Chennai, Bengaluru",6-10 Yrs,Not Disclosed,"Data analyst, Pyspark, Banking domain, Python, Data Validation, Hadoop, User Acceptance, Agile Process",1 week ago,3.6,53966  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-capgemini-hyderabad-chennai-bengaluru-6-to-10-years-280526019457
Data Analyst - Snowflake/ Data Bricks/Azure Data Factory,Optum,Bengaluru,1-6 Yrs,Not Disclosed,"data analyst, snowflake, python, data analysis, natural language processing, ai, databricks, power bi",1 week ago,4.0,8053  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-snowflake-data-bricks-azure-data-factory-optum-global-solutions-india-private-limited-bengaluru-1-to-6-years-260526933305
Data Analyst,Image Infosystems,Ernakulam,0 Yrs,2.75-3 Lacs PA,"Aiml, Data Analysis, Edge, SQL, Analysis, Data",1 week ago,2.4,71  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-image-infosystems-ernakulam-0-to-0-years-250526004966
Data Analyst,The Briminc,Bengaluru,1-3 Yrs,Not Disclosed,"Computer science, Automation, Data analysis, Analytical, Machine learning, Workflow, Analytics, SQL",2 days ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-the-briminc-bengaluru-1-to-3-years-030626504105
"Data Analyst ( APLD , LAAD)",PRI Global,Hybrid - Bengaluru,5-9 Yrs,9-13 Lacs PA,"APLD, LAAD, SQL, Life Sciences, Patient Level Data, Clinical, Data Analyst, Medical",4 days ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-apld-laad-pri-india-it-services-bengaluru-5-to-9-years-270426003938
Data Analyst,TALENTPULL AND INFRASTRUCTURE PRIVATE LIMITED,Gurugram,0-2 Yrs,2-4.25 Lacs PA,"SOP, Capa, Google Sheets, RCA, Excel, SLAS, Data, Sheet",1 day ago,,,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-talentpull-and-infrastructure-gurugram-0-to-2-years-050626007781
Data Analyst,Incedo,Hybrid - Gurugram,6-10 Yrs,Not Disclosed,"Power Bi, SQL, Life Sciences, Tableau, Pharmaceutical, Data analysis, Science, Data",2 days ago,2.9,1367  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-incedo-gurugram-6-to-10-years-030626025052
Data Analyst,Incedo,Gurugram,6-10 Yrs,Not Disclosed,"Life sciences or pharma domain experience required, Power BI, SQL, Databricks SQL Dashboard, or Qlik., Tableau, Looker, Pharmaceutical",2 days ago,2.9,1367  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-incedo-gurugram-6-to-10-years-030626023560
"Auth Fraud Supervisor- Data Analyst, UIDAI/Bengaluru",National Institute for Smart Government (NISG),Bengaluru,6-10 Yrs,13-23 Lacs PA,"Data Analysis, Fraud Management, Python, SQL, Fraud Analytics, R, Identity fraud, Business Analysis",1 week ago,3.5,289  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-auth-fraud-supervisor-data-analyst-uidai-bengaluru-national-institute-for-smart-government-nisg-bengaluru-6-to-10-years-300126034060
Data Analyst 3,Lam Research,Bengaluru,7-9 Yrs,Not Disclosed,"Supply chain, Automation, Data analysis, Business analytics, Flex, power bi, Troubleshooting, Data mining",2 weeks ago,3.8,359  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-3-lam-research-bengaluru-7-to-9-years-220526501833
Data Analyst - (Immediate Joiners preferred),Capita,"Hybrid - Pune, Mumbai (All Areas)",1-5 Yrs,Not Disclosed,"Power Bi, Advanced Excel, Machine Learning, Python, R, Data Visualization, Tableau, Data analysis",2 days ago,3.5,2687  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-immediate-joiners-preferred-capita-pune-mumbai-all-areas-1-to-5-years-140526016202
Data Analyst (IoT),Log9 Materials,Bengaluru,0-6 Yrs,Not Disclosed,"SAS, big data analytics, Data Analyst, Customer service, Business intelligence, Macros, Analytics, Reporting tools",3+ weeks ago,3.3,151  Reviews,Data Analyst,2026-06-06,https://www.naukri.com/job-listings-data-analyst-iot-log9-materials-bengaluru-0-to-6-years-110325506630
